,MP_timestamp,MP_price_in_stable
311,2021-11-08,48057529749.07515
312,2021-11-09,48057529749.07515
313,2021-11-10,48057529749.07515
314,2021-11-11,48057607887.37189
315,2021-11-12,48053583251.49399
316,2021-11-13,48049164622.52564
317,2021-11-14,48048199776.51593
318,2021-11-15,48055621274.32881
319,2021-11-16,48066611493.360214
320,2021-11-17,48064403879.531555
321,2021-11-18,48064403879.531555
322,2021-11-19,48064403879.531555
323,2021-11-20,48064751052.65442
324,2021-11-21,48064751052.65442
325,2021-11-22,48064751052.65442
326,2021-11-23,48064751052.65442
327,2021-11-24,48054509730.84383
328,2021-11-25,48037206273.23676
329,2021-11-26,48003280446.482155
330,2021-11-27,48007986127.17458
331,2021-11-28,48021188488.6957
332,2021-11-29,48032205971.94994
333,2021-11-30,48035274841.72781
334,2021-12-01,48047175335.50654
335,2021-12-02,48048040671.99468
336,2021-12-03,48049689234.25318
337,2021-12-04,48050570196.49473
338,2021-12-05,48048928620.6434
339,2021-12-06,48048928620.6434
340,2021-12-07,48048928620.6434
341,2021-12-08,48048928620.6434
342,2021-12-09,48048928620.6434
343,2021-12-10,48048928620.6434
344,2021-12-11,48048262539.552956
345,2021-12-12,48048262539.552956
346,2021-12-13,48048262539.552956
347,2021-12-14,48048262539.552956
348,2021-12-15,48048262539.552956
349,2021-12-16,48048262539.552956
350,2021-12-17,48048262539.552956
351,2021-12-18,48048262539.552956
352,2021-12-19,48048262539.552956
353,2021-12-20,48048262539.552956
354,2021-12-21,48048262539.552956
355,2021-12-22,48048262539.552956
356,2021-12-23,48048262539.552956
357,2021-12-24,48048262539.552956
358,2021-12-25,47973690404.27604
359,2021-12-26,47973690404.27604
360,2021-12-27,47973690404.27604
361,2021-12-28,47973690404.27604
362,2021-12-29,47973690404.27604
363,2021-12-30,47973690404.27604
364,2021-12-31,47973690404.27604
365,2022-01-01,47974160370.95367
366,2022-01-02,47974160370.95367
367,2022-01-03,47974160370.95367
368,2022-01-04,47974160370.95367
369,2022-01-05,47974160370.95367
370,2022-01-06,47974160370.95367
371,2022-01-07,47974160370.95367
372,2022-01-08,47975074933.70948
373,2022-01-09,47975074933.70948
374,2022-01-10,47975074933.70948
375,2022-01-11,47975074933.70948
376,2022-01-12,47975074933.70948
377,2022-01-13,47975074933.70948
378,2022-01-14,47975074933.70948
379,2022-01-15,47975074933.70948
380,2022-01-16,47975074933.70948
381,2022-01-17,47975074933.70948
382,2022-01-18,47975074933.70948
383,2022-01-19,47975074933.70948
384,2022-01-20,47975074933.70948
385,2022-01-21,47975074933.70948
386,2022-01-22,47975074933.70948
387,2022-01-23,47972856674.35316
388,2022-01-24,47972856674.35316
389,2022-01-25,47972856674.35316
390,2022-01-26,47972856674.35316
391,2022-01-27,47972856674.35316
392,2022-01-28,47972856674.35316
393,2022-01-29,47972856674.35316
394,2022-01-30,47971247691.013176
395,2022-01-31,47971247691.013176
396,2022-02-01,47971247691.013176
397,2022-02-02,47971247691.013176
398,2022-02-03,47971247691.013176
399,2022-02-04,47971247691.013176
400,2022-02-05,47971247691.013176
401,2022-02-06,47923022497.14799
402,2022-02-07,47930436077.20944
403,2022-02-08,47949269389.4121
404,2022-02-09,47952005859.87053
405,2022-02-10,47952229435.39405
406,2022-02-11,47952264252.84258
407,2022-02-12,47953035558.77977
408,2022-02-13,47969144662.818016
409,2022-02-14,47969144662.818016
410,2022-02-15,47969144662.818016
411,2022-02-16,47969144662.818016
412,2022-02-17,47969144662.818016
413,2022-02-18,47969144662.818016
414,2022-02-19,47969144662.818016
415,2022-02-20,47966688088.56752
416,2022-02-21,47966688088.56752
417,2022-02-22,47966688088.56752
418,2022-02-23,47966688088.56752
419,2022-02-24,47966688088.56752
420,2022-02-25,47966688088.56752
421,2022-02-26,47966688088.56752
422,2022-02-27,47966618512.6496
423,2022-02-28,47966618512.6496
424,2022-03-01,47966618512.6496
425,2022-03-02,47966618512.6496
426,2022-03-03,47966618512.6496
427,2022-03-04,47966618512.6496
428,2022-03-05,47966618512.6496
429,2022-03-06,47949348561.403046
430,2022-03-07,47949348561.403046
431,2022-03-08,47949348561.403046
432,2022-03-09,47949348561.403046
433,2022-03-10,47949348561.403046
434,2022-03-11,47949348561.403046
435,2022-03-12,47949348561.403046
436,2022-03-13,47949221649.174324
437,2022-03-14,47949221649.174324
438,2022-03-15,47949221649.174324
439,2022-03-16,47949221649.174324
440,2022-03-17,47949221649.174324
441,2022-03-18,47949221649.174324
442,2022-03-19,47949221649.174324
443,2022-03-20,47949221649.174324
444,2022-03-21,47935053007.95119
445,2022-03-22,47935053007.95119
446,2022-03-23,47935053007.95119
447,2022-03-24,47935053007.95119
448,2022-03-25,47935053007.95119
449,2022-03-26,47935053007.95119
450,2022-03-27,47935053007.95119
451,2022-03-28,47934881257.15622
452,2022-03-29,47934881257.15622
453,2022-03-30,47934881257.15622
454,2022-03-31,47934881257.15622
455,2022-04-01,47934881257.15622
456,2022-04-02,47934881257.15622
457,2022-04-03,47934881257.15622
458,2022-04-04,47937977553.3263
459,2022-04-05,47937977553.3263
460,2022-04-06,47937977553.3263
461,2022-04-07,47937977553.3263
462,2022-04-08,47937977553.3263
463,2022-04-09,47937977553.3263
464,2022-04-10,47937977553.3263
